time  Rpath_1 Rpath_2 Rpath_3 r_1 r_2 r_3 scap_1 scap_2 scap_3 m_1 m_2 m_3 xi_1 xi_2 xi_3 U_mean 
3.4737644854971046e-18 79.38976424072415 415.0918328236901 279.070763114618 568.9618059063893 410.76790432091445 685.6573948850569 482.99644680516354 422.0876285497383 632.1388541579076 4 4 3 -0.4930125111303641 -1.438788932172388 15.973477438574495 0.9146785377840191 
0.00591666666666667 77.61111168973201 421.5604592029619 273.4281451288851 575.5693454310597 427.84801332680456 766.2216889547075 644.1240182970007 421.94871480745513 859.4008795802467 5 4 4 7.582679446978901 -1.4735173677431836 20.11074594766693 0.9237858023319979 
0.011833333333333338 75.94472605935421 428.1989143788524 268.01920937250117 580.4355947051056 420.1341445323943 773.9874190783166 644.3776875587561 421.82965437005845 859.6116131296451 5 4 4 7.633413299329972 -1.503282477092357 20.16342933501653 0.9350656235365636 
0.017750000000000002 74.41251421540626 434.98781279178684 262.90068199820865 585.6349602768337 412.8852265221393 781.9144897707472 644.2462180930357 421.80834994885697 859.6224938276806 5 4 4 7.607119406185893 -1.508608582392721 20.166149509525415 0.946745773032812 
0.023666666666666673 73.03591874204204 441.909543294671 258.1272456148015 587.9822494586593 404.20053010547105 773.0740273216429 644.2029662433551 421.50166666887856 859.466674198672 5 4 4 7.598469036249805 -1.585279402387326 20.127194602273256 0.9237209759119992 
0.029583333333333336 71.82810803579241 448.9781174018859 253.71716384777903 592.6350785265154 397.3745890052591 774.5240986481815 644.1874707612072 421.5893533410558 859.5246036361744 5 4 4 7.595369939820195 -1.5633577343430156 20.14167696164888 0.9212145616697317 
0.035500000000000004 70.79512569806532 456.23477648946334 249.6573404107844 597.8256457523578 391.2485578723232 776.687317010763 643.8415638016168 421.587029190899 859.6109505195553 5 4 4 7.5261885479020885 -1.5639387718822175 20.163263682494087 0.9200333745038023 
0.04141666666666667 69.94278254019906 463.7216516209679 245.93365438784664 603.6077036976423 385.8199371622421 779.597503263893 644.0646203453258 421.5571253489578 859.4315689643074 5 4 4 7.570799856643917 -1.5714147323675203 20.11841829368211 0.9198396829505814 
0.04733333333333334 69.27688937353146 471.48087385996354 242.5319848629953 610.0350048887669 381.0862272805358 783.2884782287235 644.3672109131023 421.19244321331985 859.4823251361885 5 4 4 7.631317970199213 -1.6625852662770004 20.131107336652374 0.9209493325505459 
0.053250000000000006 68.80325700940062 479.5545742700148 239.43821092025982 614.8014469075249 364.11302328143665 775.3881378548139 644.0113734459435 421.70789839969564 642.7312006016281 5 4 3 7.5601504767674585 -1.5337214696830521 19.504259586481293 0.8823279772564616 
