time  Rpath_1 Rpath_2 Rpath_3 r_1 r_2 r_3 scap_1 scap_2 scap_3 m_1 m_2 m_3 xi_1 xi_2 xi_3 U_mean a_1 a_2 a_3 
-2.5263741739443368e-18 277.77636807798825 496.61020946528436 331.33137644110843 1052.167921724205 886.8914574056193 1105.7206599997658 1108.9236297718703 956.8257748185248 1219.5322441634519 9 5 10 -3.1188966220074126 -3.194300981889591 0.9511242063241868 0.9274684061610662 1052.167921724205 886.8914574056193 1105.7206599997658 
0.005916666666666664 272.1816643916559 513.4106309468444 329.7166344346882 1057.7787378658404 874.0870438946113 1115.3118174784145 1108.7410043812408 956.9588736708489 1219.2348598067729 9 5 10 -3.139188332077346 -3.1676812114247594 0.9213857706563061 0.927400160222669 1057.7787378658404 874.0870438946113 1115.3118174784145 
0.011833333333333331 266.8334795570301 528.7746838622029 328.4106217994833 1062.4461776831922 862.0843347613259 1124.0218458524391 1108.744837949027 957.2557073348933 1219.620532583863 9 5 10 -3.138762380101113 -3.108314478615903 0.9599530483653012 0.9268124205320226 1062.4461776831922 862.0843347613259 1124.0218458524391 
0.01775 261.7885397268538 542.4602836352789 327.45419619763 1038.8368213451206 826.9895374416819 1056.6298795532389 1108.7771528552437 762.6047903502414 1110.5215402323872 9 4 9 -3.135171834965917 -3.908258358034212 2.3891820380220317 0.9368461963835776 1038.8368213451206 738.3802790720116 1056.6298795532389 
0.023666666666666662 257.0978903672012 554.2474370381808 326.88480473138674 1044.4422391264293 820.1781299997472 1071.2538599538166 1108.5913270234012 762.5618649587918 1110.7353506925706 9 4 9 -3.1558191496150867 -3.91898970589658 2.4129387558201794 0.9454469177285828 1044.4422391264293 738.3802790720116 1071.2538599538166 
0.02958333333333333 252.76830510507406 564.0883174610566 326.71331466031813 1048.4644657777328 814.0621856163968 1083.8927827995908 1108.1580181169306 762.5769338043503 1110.4575890380038 9 4 9 -3.203964583667362 -3.915222494506957 2.3820763497572 0.9529884585136025 1048.4644657777328 738.3802790720116 1083.8927827995908 
0.0355 248.7857827356521 572.0158885347657 326.9381204898991 1050.9512487283096 808.6679916153029 1094.640595097314 1107.555572753012 762.7461883574248 1109.9640858397972 9 4 9 -3.270902957436108 -3.8729088562383454 2.3272426610675674 0.959433401405879 1050.9512487283096 808.6679916153029 1094.640595097314 
0.041416666666666664 245.1362023429643 578.0635794290791 327.5575448536514 1051.8253770004826 803.9234139541754 1103.2461972141964 1106.9243793129008 762.7411593146587 1109.0016695548939 9 4 9 -3.3410355618929044 -3.8741661169298567 2.2203075183005243 0.964602323080607 1051.8253770004826 738.3802790720116 1103.2461972141964 
0.047333333333333324 241.80544301103956 582.2648193137682 328.569910385097 1051.1207642619145 799.6545544609429 1109.7709423439871 1106.6703222981455 762.6242305841845 1108.8662625328136 9 4 9 -3.3692641190879433 -3.903398299548428 2.2052622936249597 0.9675605620146399 1051.1207642619145 738.3802790720116 1109.7709423439871 
0.05325 238.7793838239076 584.6530373586039 329.97353971775783 1048.9110146492048 795.3995941704513 1114.39897491598 1106.004756731601 762.5514782211786 1109.2430385140813 9 4 9 -3.4432158487039977 -3.9215863902998924 2.247126291543588 0.9674847047831094 1048.9110146492048 738.3802790720116 1114.39897491598 
